ELEMENT,Axis_0,Axis_1,C_PE_WE,C_PE_WE_P,C_PHYLO_RPE2,C_PHYLO_RPE_DIFF2,C_PHYLO_RPE_NULL2,P_PE_WE,P_PE_WE_P,P_PHYLO_RPE2,P_PHYLO_RPE_DIFF2,P_PHYLO_RPE_NULL2,Q_PE_WE,Q_PE_WE_P,Q_PHYLO_RPE2,Q_PHYLO_RPE_DIFF2,Q_PHYLO_RPE_NULL2
-1175000:-2275000,-1175000,-2275000,866,866,859,868,716,0.866866866866867,0.866866866866867,0.85985985985986,0.868868868868869,0.716716716716717,999,999,999,999,999
-1175000:-2325000,-1175000,-2325000,401,401,375,353,519,0.401401401401401,0.401401401401401,0.375375375375375,0.353353353353353,0.519519519519519,999,999,999,999,999
-1175000:-2375000,-1175000,-2375000,990,990,906,982,986,0.990990990990991,0.990990990990991,0.906906906906907,0.982982982982983,0.986986986986987,999,999,999,999,999
-1175000:-2425000,-1175000,-2425000,938,938,498,84,989,0.938938938938939,0.938938938938939,0.498498498498498,0.0840840840840841,0.98998998998999,999,999,999,999,999
-1175000:-2475000,-1175000,-2475000,360,360,107,109,759,0.36036036036036,0.36036036036036,0.107107107107107,0.109109109109109,0.75975975975976,999,999,999,999,999
-1175000:-2525000,-1175000,-2525000,401,401,217,160,664,0.401401401401401,0.401401401401401,0.217217217217217,0.16016016016016,0.664664664664665,999,999,999,999,999
-1175000:-2575000,-1175000,-2575000,310,310,191,198,516,0.31031031031031,0.31031031031031,0.191191191191191,0.198198198198198,0.516516516516517,999,999,999,999,999
-1175000:-2625000,-1175000,-2625000,265,265,600,619,95,0.265265265265265,0.265265265265265,0.600600600600601,0.61961961961962,0.0950950950950951,999,999,999,999,999
-1175000:-2675000,-1175000,-2675000,404,404,537,550,293,0.404404404404404,0.404404404404404,0.537537537537538,0.550550550550551,0.293293293293293,999,999,999,999,999
-1175000:-2725000,-1175000,-2725000,481,481,285,203,703,0.481481481481481,0.481481481481481,0.285285285285285,0.203203203203203,0.703703703703704,999,999,999,999,999
-1175000:-2775000,-1175000,-2775000,829,829,868,873,623,0.82982982982983,0.82982982982983,0.868868868868869,0.873873873873874,0.623623623623624,999,999,999,999,999
-1175000:-2825000,-1175000,-2825000,338,338,845,821,33,0.338338338338338,0.338338338338338,0.845845845845846,0.821821821821822,0.033033033033033,999,999,999,999,999
-1175000:-2875000,-1175000,-2875000,80,80,362,512,49,0.0800800800800801,0.0800800800800801,0.362362362362362,0.512512512512513,0.049049049049049,999,999,999,999,999
-1175000:-2925000,-1175000,-2925000,42,42,258,371,33,0.042042042042042,0.042042042042042,0.258258258258258,0.371371371371371,0.033033033033033,999,999,999,999,999
-1175000:-2975000,-1175000,-2975000,200,200,502,535,100,0.2002002002002,0.2002002002002,0.502502502502503,0.535535535535536,0.1001001001001,999,999,999,999,999
-1175000:-3025000,-1175000,-3025000,524,524,797,775,167,0.524524524524524,0.524524524524524,0.797797797797798,0.775775775775776,0.167167167167167,999,999,999,999,999
-1175000:-3075000,-1175000,-3075000,253,253,206,234,473,0.253253253253253,0.253253253253253,0.206206206206206,0.234234234234234,0.473473473473473,999,999,999,999,999
-1175000:-3125000,-1175000,-3125000,445,445,511,499,346,0.445445445445445,0.445445445445445,0.511511511511512,0.4994994994995,0.346346346346346,999,999,999,999,999
-1175000:-3175000,-1175000,-3175000,914,914,881,909,811,0.914914914914915,0.914914914914915,0.881881881881882,0.90990990990991,0.811811811811812,999,999,999,999,999
-1175000:-3225000,-1175000,-3225000,384,384,484,483,311,0.384384384384384,0.384384384384384,0.484484484484485,0.483483483483483,0.311311311311311,999,999,999,999,999
-1175000:-3275000,-1175000,-3275000,963,963,980,976,723,0.963963963963964,0.963963963963964,0.980980980980981,0.976976976976977,0.723723723723724,999,999,999,999,999
-1175000:-3325000,-1175000,-3325000,340,340,382,382,395,0.34034034034034,0.34034034034034,0.382382382382382,0.382382382382382,0.395395395395395,999,999,999,999,999
-1175000:-3375000,-1175000,-3375000,995,995,909,992,999,0.995995995995996,0.995995995995996,0.90990990990991,0.992992992992993,1,999,999,999,999,999
-1175000:-3425000,-1175000,-3425000,569,569,332,253,761,0.56956956956957,0.56956956956957,0.332332332332332,0.253253253253253,0.761761761761762,999,999,999,999,999
-1175000:-3475000,-1175000,-3475000,982,982,957,982,910,0.982982982982983,0.982982982982983,0.957957957957958,0.982982982982983,0.910910910910911,999,999,999,999,999
-1175000:-3525000,-1175000,-3525000,794,794,663,668,808,0.794794794794795,0.794794794794795,0.663663663663664,0.668668668668669,0.808808808808809,999,999,999,999,999
