ELEMENT,Axis_0,Axis_1,PE_WE,PE_WE_P,PHYLO_RPE2,PHYLO_RPE_DIFF2,PHYLO_RPE_NULL2
-1225000:-3775000,-1225000,-3775000,0.992992992992993,0.992992992992993,,0.987987987987988,1
-1225000:-3825000,-1225000,-3825000,0.996996996996997,0.996996996996997,,0.982982982982983,1
-1225000:-3875000,-1225000,-3875000,0.967967967967968,0.967967967967968,,,0.990990990990991
-125000:-1225000,-125000,-1225000,,,,,
-125000:-1275000,-125000,-1275000,,,,,
-125000:-1325000,-125000,-1325000,,,,,
-125000:-1375000,-125000,-1375000,,,,,
-125000:-1425000,-125000,-1425000,,,,,
-125000:-1475000,-125000,-1475000,,,,,
-125000:-1525000,-125000,-1525000,,,,,
-125000:-1575000,-125000,-1575000,,,,,
-125000:-1625000,-125000,-1625000,,,,,
-125000:-1675000,-125000,-1675000,,,,,
-125000:-1725000,-125000,-1725000,,,,,
-125000:-1775000,-125000,-1775000,,,,,
-125000:-1825000,-125000,-1825000,,,,,
-125000:-1875000,-125000,-1875000,,,,,
-125000:-1925000,-125000,-1925000,,,,,
-125000:-1975000,-125000,-1975000,,,,,
-125000:-2075000,-125000,-2075000,,,,,
-125000:-2125000,-125000,-2125000,,,,,
-125000:-2225000,-125000,-2225000,,,,,
-125000:-2275000,-125000,-2275000,0.032032032032032,0.032032032032032,,,0.002002002002002
-125000:-2325000,-125000,-2325000,,,,,0.012012012012012
-125000:-2375000,-125000,-2375000,0.027027027027027,0.027027027027027,,,0.00700700700700701
-125000:-2425000,-125000,-2425000,,,,,0.014014014014014
-125000:-2475000,-125000,-2475000,,,,,
-125000:-2525000,-125000,-2525000,,,,,0.03003003003003
-125000:-2575000,-125000,-2575000,,,,,0.00600600600600601
-125000:-2625000,-125000,-2625000,,,0.962962962962963,,
-125000:-2675000,-125000,-2675000,,,,,
-125000:-2725000,-125000,-2725000,,,,,
-125000:-2775000,-125000,-2775000,,,,,
-125000:-2825000,-125000,-2825000,,,,,0.01001001001001
-125000:-2875000,-125000,-2875000,,,,,0.005005005005005
-125000:-2975000,-125000,-2975000,0.039039039039039,0.039039039039039,,,
-125000:-3025000,-125000,-3025000,,,,,
-125000:-3075000,-125000,-3075000,0.03003003003003,0.03003003003003,,,0.017017017017017
-125000:-3125000,-125000,-3125000,0.045045045045045,0.045045045045045,,,0.024024024024024
-125000:-3175000,-125000,-3175000,0.014014014014014,0.014014014014014,,,
-125000:-3225000,-125000,-3225000,0.034034034034034,0.034034034034034,,,0.012012012012012
-125000:-3375000,-125000,-3375000,,,,,
-125000:-3425000,-125000,-3425000,,,,,
-1275000:-2225000,-1275000,-2225000,0.035035035035035,0.035035035035035,,,
-1275000:-2275000,-1275000,-2275000,,,,,
-1275000:-2325000,-1275000,-2325000,,,,,
-1275000:-2375000,-1275000,-2375000,,,,,
-1275000:-2425000,-1275000,-2425000,,,,,
-1275000:-2475000,-1275000,-2475000,,,,,
-1275000:-2525000,-1275000,-2525000,,,,,
-1275000:-2575000,-1275000,-2575000,,,,,
-1275000:-2625000,-1275000,-2625000,,,,,
-1275000:-2675000,-1275000,-2675000,0.957957957957958,0.957957957957958,0.98998998998999,0.980980980980981,
-1275000:-2725000,-1275000,-2725000,,,,,
-1275000:-2775000,-1275000,-2775000,,,,,
-1275000:-2825000,-1275000,-2825000,,,,,
-1275000:-2875000,-1275000,-2875000,,,,,
-1275000:-2925000,-1275000,-2925000,,,,,
-1275000:-2975000,-1275000,-2975000,,,,,
-1275000:-3025000,-1275000,-3025000,,,,,
